,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
31,0,0.52604544,0.54726493,0.5134801,0.5182774,0.1624726,0.09309133,0.0921481,0.08035986
32,0,0.5240806,0.54515475,0.5138059,0.5183717,0.10440938,0.08460172,0.09542688,0.12521276
33,0,0.52444696,0.5428403,0.51425755,0.51848763,0.107013896,0.086538404,0.10238102,0.08960223
34,0,0.5241883,0.5401612,0.5146647,0.5186272,0.11920821,0.08252383,0.105448574,0.08504225
35,1,0.5242247,0.53741515,0.51515776,0.5187867,0.10945607,0.8049826,0.10229925,0.111922756
36,0,0.5295122,0.5355648,0.5157872,0.5189487,0.18175651,0.08634749,0.10143451,0.112398855
37,0,0.5369748,0.5337395,0.51634836,0.51913136,0.12905444,0.08903522,0.09879885,0.09159811
38,1,0.5390514,0.53185356,0.51687884,0.5193342,0.097271755,0.08333473,0.10100457,0.082538806
39,1,0.5367556,0.5302933,0.5173528,0.5195044,0.14091691,0.08046381,0.10085086,0.088297
40,0,0.5303391,0.5291449,0.5176915,0.5196225,0.100092605,0.080382876,0.108936206,0.09373988
41,1,0.5264361,0.528437,0.5180827,0.51972926,0.14195997,0.080097176,0.098811984,0.8507926
42,1,0.5173471,0.52882695,0.5185094,0.51980615,0.118779965,0.0909217,0.12388902,0.09491552
43,0,0.50639373,0.5312939,0.5189589,0.5198528,0.1261449,0.08434435,0.092763536,0.08781395
44,0,0.5058702,0.53597856,0.5194209,0.519895,0.10015919,0.08969831,0.099101506,0.0883464
45,1,0.50957185,0.5413242,0.5198811,0.5199379,0.2829712,0.08342019,0.123206146,0.09810647
46,0,0.51039106,0.54669386,0.52034414,0.5199778,0.10958166,0.081241846,0.10859614,0.09054611
47,1,0.51444286,0.55136526,0.5208957,0.52002937,0.13457726,0.08698168,0.10513111,0.084546104
48,1,0.5284717,0.55554247,0.5214904,0.5200791,0.11599795,0.08780744,0.10940737,0.15732875
49,1,0.5425302,0.5598408,0.5221226,0.52013,0.09354401,0.07995225,0.106363006,0.08116799
50,1,0.5422668,0.5633461,0.52273417,0.52017057,0.12986219,0.08170657,0.11126096,0.094883695
51,1,0.54060507,0.56575006,0.52325255,0.52019924,0.14678967,0.08519029,0.09868069,0.08432221
52,0,0.52549016,0.567557,0.52373654,0.520218,0.11150189,0.08554117,0.09959364,0.081435785
53,1,0.51882,0.5693072,0.5241691,0.5202294,0.10745204,0.086939596,0.110782504,0.07724366
54,1,0.5124478,0.57060707,0.5245176,0.5202281,0.09783244,0.07965062,0.0992283,0.09909559
55,1,0.5104947,0.5714354,0.52478486,0.5202187,0.11461237,0.07946248,0.09787513,0.09626897
56,1,0.50985545,0.57162,0.52494794,0.520204,0.09680693,0.079661705,0.10607915,0.081726134
57,1,0.5101561,0.5713152,0.52507037,0.5201873,0.28993702,0.08270429,0.12084902,0.093303
58,1,0.5102697,0.5702351,0.52513546,0.52016515,0.11408523,0.09897707,0.10612582,0.09424468
59,1,0.51044464,0.5687471,0.52513754,0.5201339,0.13042557,0.08913986,0.10471873,0.080882795
60,0,0.5106131,0.5674676,0.5251468,0.52009594,0.11157951,0.08533676,0.2614049,0.09235974
61,1,0.5106733,0.56604236,0.52519697,0.52005273,0.113208614,0.097349286,0.14958021,0.081661835
62,0,0.5107375,0.5646954,0.52526575,0.520023,0.14906503,0.096539475,0.105620325,0.08876846
