,Data_Frame_Name,No_Trade,Winning_Ratio,Profit_Average,Loss_Average,Payoff_Ratio,Profit_Factor,MDD,MDD(portfolio),Max_Holding_Period,Mean_Holding_Period,Max_Profit,Max_Profit_Return,Max_Loss,Max_Loss_Return,Max_Cum_Profit,Max_Cum_Profit_Return,Max_Cum_Loss,Max_Cum_Loss_Return,Last_Cumulative,Last_Cumulative_Return,Max_Portfolio_Profit,Max_Portfolio_Profit_Return,Max_Portfolio_Loss,Max_Portfolio_Loss_Return
42,US500_LSTM_5day_5,35,0.5714285714285714,97.64248055,-132.19003919999992,0.7386523306969416,0.9848697742625887,-23.080556513684016,-29.868472788154655,32,7.699115044247788,309.4702150000003,8.951484559171336,-495.679932,-16.77870764079267,338.35937500000136,10.385971263924047,-751.9299329999999,-23.080556513684012,-13.571044999998776,-0.4165644394851091,365.90893600000027,11.231607501665975,-973.0700699999998,-29.868472788154655
43,US500_LSTM_5day_20,17,0.5882352941176471,174.00402830000013,-170.661412142857,1.019586244571474,1.4565517779592487,-10.335704621376674,-18.16742977138376,42,12.493449781659388,399.3403320000007,9.569370208550406,-386.6298829999996,-8.73469387755102,607.2604960000021,18.193708216613054,-344.97998099999995,-10.335704621376674,607.2604960000021,18.193708216613054,623.3703600000022,18.676364616882697,-383.530029,-11.49067572466482
44,US500_LSTM_5day_60,5,0.6,493.030029,-182.36987299999964,2.7034620405750953,4.055193060862643,-6.428360077982587,-24.161582136501625,137,45.81043956043956,732.8999020000001,30.5616893394581,-249.2397459999993,-5.519588018363121,1479.090087,61.67757919002429,732.8999020000001,30.5616893394581,1229.8503410000008,51.284362234324085,1595.1403800000003,66.51683894806297,-160.70019599999978,-6.7011463005244325
45,US500_LSTM_5day_120,4,0.5,111.23474150000015,-284.5699465,0.3908871715657442,0.3908871715657442,-0.475778342029598,-25.636758824095985,178,71.68695652173913,130.67968800000017,2.994843141431909,-553.0898440000001,-12.591429285287944,206.4194340000004,6.118977958958846,-16.050048999999944,-0.47577834202960245,206.4194340000004,6.118977958958846,343.8496100000002,10.19287837397419,-609.1403809999997,-18.057004096090996
46,US500_VIT_5day_5,51,0.6078431372549019,112.76319922580645,-152.67402354999987,0.7385879837566286,1.1448113748227744,-29.557762010409594,-29.841631150571736,57,13.458528951486699,592.550049,26.483868550737068,-494.780029,-16.474161016632372,1515.3684030000009,46.51436859941126,-898.8100589999999,-27.589055111890538,537.0585880000021,16.48506137006437,1545.7482860000014,47.44688182396541,-898.8100589999999,-27.589055111890538
47,US500_VIT_5day_20,32,0.65625,132.00955647619054,-224.51103072727275,0.5879869512360424,1.1225205432688081,-24.075880184419805,-35.02709872056927,67,18.542274052478135,333.8698730000001,12.917710802580473,-562.2302240000004,-13.086929803829792,1430.369873000002,43.90533112245123,-680.4802259999997,-20.887401369932512,489.19946500000106,15.016021311119301,1526.0300300000022,46.841628193293325,-1057.7702649999997,-32.46835284561947
48,US500_VIT_5day_60,74,0.6081081081081081,106.97534182222222,-117.66104862068963,0.9091822916442339,1.410800107723811,-23.750204037572175,-24.071238996495648,61,10.263265306122449,408.6799310000001,11.895583950843694,-344.0197749999997,-8.505431550504294,1620.3298339999997,49.73616910718891,-760.1201169999999,-23.33195494374155,1411.5000010000008,43.32611871450203,1620.3298339999997,49.73616910718891,-760.1201169999999,-23.33195494374155
49,US500_VIT_5day_120,78,0.5897435897435898,68.8854345,-97.84844975000001,0.7040012864383678,1.0120018492551537,-24.06318043327752,-25.439116461789425,15,3.9263803680981595,319.9902350000002,7.667908238820317,-393.2299800000005,-9.571039256458382,1073.6906780000013,32.787452104493624,-38.33007700000008,-1.170491268621272,27.3295949999997,0.8345679118373583,1092.200443000001,33.352687554365836,-152.33007700000007,-4.651726242994654
50,US500_Fusion_soft_5day_lgb,35,0.6857142857142857,107.80834958333327,-173.21362318181812,0.6224010998844443,1.3579660361115147,-16.76381985958033,-30.672810288040854,96,21.62776025236593,509.25,17.782938461208918,-730.6098629999997,-16.19399471997297,1229.850582999999,37.7503735900865,-413.5700689999999,-12.694570239861292,660.210446999999,20.265218691470903,1328.140622999999,40.76739515471713,-911.7001959999998,-27.984719019444576
51,US500_Fusion_soft_5day_SVM,60,0.5666666666666667,95.62030379411766,-123.23080676923081,0.7759448006632125,1.014697047021124,-26.347710325980067,-37.28200119669839,47,10.137524557956779,486.459961,19.233824756066436,-858.0,-26.12938072132484,682.8007800000005,21.03332965426072,-847.830078,-26.11697297910463,284.1594209999994,8.753385982155496,693.010741000001,21.34784229361382,-1139.620117,-35.10541625551183
