,Date,Open,High,Low,Close,Predicted_results_5,Predicted_results_20,Predicted_results_60,Predicted_results_120,action_5,action_20,action_60,action_120
22,2021-02-04,13674.05957,13778.419922,13631.620117,13777.740234,0,0,0,0,No action,No action,No action,No action
23,2021-02-05,13824.879883,13878.160156,13761.660156,13856.299805,0,0,0,0,No action,No action,No action,No action
24,2021-02-08,13937.05957,13987.740234,13894.150391,13987.639648,0,0,0,0,No action,No action,No action,No action
25,2021-02-09,13966.820313,14044.950195,13966.549805,14007.700195,0,0,0,0,No action,No action,No action,No action
26,2021-02-10,14093.349609,14109.120117,13845.469727,13972.530273,0,0,0,0,No action,No action,No action,No action
27,2021-02-11,14045.209961,14058.910156,13916.849609,14025.769531,0,0,0,0,No action,No action,No action,No action
28,2021-02-12,13979.209961,14102.040039,13937.709961,14095.469727,0,0,0,0,No action,No action,No action,No action
29,2021-02-16,14152.209961,14175.120117,13995.450195,14047.5,0,0,0,1,No action,No action,No action,Buy
30,2021-02-17,13911.650391,13976.429688,13804.259766,13965.490234,0,0,0,1,No action,No action,No action,Holding
31,2021-02-18,13814.669922,13905.959961,13714.349609,13865.360352,0,0,0,1,No action,No action,No action,Holding
32,2021-02-19,13929.200195,13985.580078,13842.599609,13874.459961,0,0,0,1,No action,No action,No action,Holding
33,2021-02-22,13714.200195,13757.05957,13530.959961,13533.049805,0,0,0,1,No action,No action,No action,Holding
34,2021-02-23,13262.610352,13526.089844,13003.980469,13465.200195,0,0,0,1,No action,No action,No action,Holding
35,2021-02-24,13400.25,13607.360352,13286.589844,13597.969727,0,0,0,1,No action,No action,No action,Holding
36,2021-02-25,13512.639648,13602.860352,13066.379883,13119.429688,0,0,0,1,No action,No action,No action,Holding
37,2021-02-26,13232.900391,13368.05957,13024.530273,13192.349609,0,0,0,1,No action,No action,No action,Holding
38,2021-03-01,13406.160156,13596.589844,13362.660156,13588.830078,1,0,0,1,Buy,No action,No action,Holding
39,2021-03-02,13599.450195,13601.330078,13352.0,13358.790039,1,0,0,1,Holding,No action,No action,Holding
40,2021-03-03,13336.25,13372.519531,12995.070313,12997.75,1,0,0,1,Holding,No action,No action,Holding
41,2021-03-04,12953.990234,13068.709961,12553.959961,12723.469727,1,0,0,1,Holding,No action,No action,Holding
42,2021-03-05,12860.040039,12941.209961,12397.049805,12920.150391,1,1,0,1,Holding,Buy,No action,Holding
