,Date,Open,High,Low,Close,Predicted_results_20,action_20,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
71,2022-04-20,2718.48999,2724.459961,2702.840088,2718.689941,1,Holding,0.0,0.0,-369.1201179999998
72,2022-04-21,2725.709961,2737.540039,2725.040039,2728.209961,0,Holding,0.0,0.0,-369.1201179999998
73,2022-04-22,2704.719971,2708.580078,2690.47998,2704.709961,0,sell,9.909912000000077,0.3716086923022397,-359.21020599999974
74,2022-04-25,2676.669922,2680.350098,2657.040039,2657.129883,1,Buy,0.0,0.0,-359.21020599999974
75,2022-04-26,2674.0,2678.050049,2663.830078,2668.310059,1,Holding,0.0,0.0,-359.21020599999974
76,2022-04-27,2630.580078,2641.820068,2615.5,2639.060059,0,Holding,0.0,0.0,-359.21020599999974
77,2022-04-28,2656.540039,2667.48999,2638.370117,2667.48999,1,Holding,0.0,0.0,-359.21020599999974
78,2022-04-29,2669.179932,2696.100098,2664.060059,2695.050049,1,Holding,0.0,0.0,-359.21020599999974
79,2022-05-02,2669.209961,2689.909912,2667.850098,2687.449951,0,Holding,0.0,0.0,-359.21020599999974
80,2022-05-03,2690.159912,2702.100098,2680.459961,2680.459961,1,Holding,0.0,0.0,-359.21020599999974
81,2022-05-04,2690.449951,2696.030029,2667.22998,2677.570068,1,Holding,0.0,0.0,-359.21020599999974
82,2022-05-06,2650.889893,2652.51001,2635.969971,2644.51001,1,Holding,0.0,0.0,-359.21020599999974
83,2022-05-10,2590.129883,2602.75,2553.01001,2596.560059,1,Holding,0.0,0.0,-359.21020599999974
84,2022-05-11,2586.52002,2599.110107,2579.090088,2592.27002,1,Holding,0.0,0.0,-359.21020599999974
85,2022-05-12,2569.5,2591.570068,2546.800049,2550.080078,0,Holding,0.0,0.0,-359.21020599999974
86,2022-05-13,2570.01001,2605.840088,2565.959961,2604.23999,1,Holding,0.0,0.0,-359.21020599999974
87,2022-05-16,2624.689941,2629.199951,2593.610107,2596.580078,1,Holding,0.0,0.0,-359.21020599999974
88,2022-05-17,2603.580078,2621.840088,2603.580078,2620.439941,0,Holding,0.0,0.0,-359.21020599999974
89,2022-05-18,2634.75,2644.129883,2618.0,2625.97998,0,sell,-80.88989300000003,-3.0442581492731655,-440.1000989999998
90,2022-05-19,2576.23999,2597.790039,2568.540039,2592.340088,1,Buy,0.0,0.0,-440.1000989999998
91,2022-05-20,2605.780029,2641.679932,2605.379883,2639.290039,1,Holding,0.0,0.0,-440.1000989999998
92,2022-05-23,2651.629883,2653.870117,2634.290039,2647.379883,0,Holding,0.0,0.0,-440.1000989999998
93,2022-05-24,2638.939941,2646.98999,2605.870117,2605.870117,1,Holding,0.0,0.0,-440.1000989999998
94,2022-05-25,2621.75,2630.169922,2602.939941,2617.219971,1,Holding,0.0,0.0,-440.1000989999998
95,2022-05-26,2616.98999,2641.909912,2602.01001,2612.449951,1,Holding,0.0,0.0,-440.1000989999998
96,2022-05-27,2640.75,2644.709961,2631.48999,2638.050049,0,Holding,0.0,0.0,-440.1000989999998
97,2022-05-30,2662.310059,2672.73999,2654.179932,2669.659912,1,Holding,0.0,0.0,-440.1000989999998
98,2022-05-31,2666.879883,2685.899902,2654.320068,2685.899902,1,Holding,0.0,0.0,-440.1000989999998
99,2022-06-02,2670.73999,2674.0,2653.590088,2658.98999,1,Holding,0.0,0.0,-440.1000989999998
100,2022-06-03,2679.570068,2681.51001,2663.0,2670.649902,0,Holding,0.0,0.0,-440.1000989999998
101,2022-06-07,2659.27002,2662.040039,2622.780029,2626.340088,1,Holding,0.0,0.0,-440.1000989999998
102,2022-06-08,2633.530029,2639.52002,2621.959961,2626.149902,1,Holding,0.0,0.0,-440.1000989999998
103,2022-06-09,2618.919922,2627.879883,2606.610107,2625.439941,1,Holding,0.0,0.0,-440.1000989999998
104,2022-06-10,2596.370117,2602.800049,2583.73999,2595.870117,1,Holding,0.0,0.0,-440.1000989999998
105,2022-06-13,2550.209961,2550.320068,2504.51001,2504.51001,0,Holding,0.0,0.0,-440.1000989999998
106,2022-06-14,2472.959961,2503.169922,2457.389893,2492.969971,0,sell,-102.33007799999996,-3.9474017500129777,-542.4301769999997
